NOTAM,Criticality Score
"Q)EGTT/QMXLC/IV/M/A/000/999/5150N00010W005 A) EGLL B) 2304201030 C) 2304201500 E) TAXIWAY B CLOSED BTN TWY A AND TWY D", 6
"Q)EGTT/QFALT/IV/NBO/A/000/999/5134N00028W005 A) EGKK B) 2304191800 C) 2304192000 E) AD CLOSED DUE TO MAINTENANCE", 8
"Q)EGTT/QPILT/I/NBO/A/000/999/5318N00215W005 A) EGCC B) 2304180001 C) 2304302359 E) ILS RWY 23R OUT OF SERVICE", 7
"Q)EGTT/QWELW/IV/BO/W/000/030/5230N00130W003 A) EGBB B) 2304201100 C) 2304201700 D) DAILY 1100-1700 E) TEMPO HELI EXER WI 2NM RADIUS 5230N00130W", 3
"Q)EGTT/QOBCE/IV/M/AE/000/005/5129N00046W001 A) EGLF B) 2304180001 C) PERM E) CRANE OPERATING AT PSN 512852N 0004559W (FARNBOROUGH) MAX HGT 328FT AGL/ 633FT AMSL", 5
"Q)EGTT/QMRLC/IV/NBO/A/000/999/5130N00028W005 A) EGLL B) 2304202300 C) 2304210500 E) RWY 09L/27R CLOSED DUE TO MAINTENANCE", 8
"Q)EGTT/QSAAU/IV/BO/A/000/999/5044N00112W005 A) EGHI B) 2304181300 C) 2304181500 E) ATIS U/S", 2
"Q)EGTT/QFAAH/IV/NBO/A/000/999/5058N00121W005 A) EGHI B) 2304180001 C) 2304302359 E) AD OPERATING HOURS 0700-1900", 4
"Q)EGTT/QWMLW/IV/BO/W/000/999/5230N00154W005 A) EGBE B) 2304200800 C) 2304201100 E) MULTIPLE GAS BALLOON LAUNCHES WI 5NM RADIUS 5230N00154W", 6
"Q)EGTT/QPIAU/I/BO/A/000/999/5321N00217W005 A) EGCC B) 2304180001 C) 2304302359 E) RNAV(GNSS) RWY 23R SUSPENDED DUE TO ILS U/S", 7
"Q)EGTT/QFAHX/IV/NBO/A/000/999/5340N00220W005 A) EGCC B) 2304181100 C) 2304182000 E) INCREASED BIRD ACTIVITY IN VICINITY OF AIRFIELD", 6
"Q)EGTT/QPDCH/I/NBO/A/000/999/5129N00028W005 A) EGLL B) 2304191800 C) 2304192100 E) SID CHANGES DUE TO TEMPORARY RESTRICTION", 5
"Q)EGTT/QSPXX/IV/BO/AE/000/999/5130N00028W005 A) EGLL B) 2304180001 C) 2304302359 E) FREQ CHANGE FOR APP 128.075", 3
"Q)EGTT/QWULW/IV/BO/W/000/999/5318N00215W005 A) EGCC B) 2304201400 C) 2304201800 E) UNMANNED AERIAL VEHICLE ACTIVITY WI 3NM RADIUS 5318N00215W", 6
"Q)EGTT/QFAXX/IV/NBO/A/000/999/5134N00028W005 A) EGKK B) 2304180001 C) 2304302359 E) RWY 08R/26L DESIGNATED AS PREFERRED RWY FOR ARRIVALS AND DEPARTURES", 4
"Q)EGTT/QMRLT/IV/NBO/A/000/999/5130N00028W005 A) EGLL B) 2304180001 C) 2304302359 E) RWY 09R/27L LIMITED TO ACFT WITH WINGSPAN LESS THAN 36M", 7
"Q)EGTT/QOBCE/IV/M/AE/000/003/5129N00046W001 A) EGLF B) 2304180001 C) PERM E) NEW BUILDING ERECTED AT PSN 512851N 0004558W (FARNBOROUGH) MAX HGT 180FT AGL/ 485FT AMSL", 5
"Q)EGTT/QWELW/IV/BO/W/000/010/5230N00130W003 A) EGBB B) 2304211100 C) 2304211500 D) DAILY 1100-1500 E) TEMPORARY LIGHT SHOW WI 2NM RADIUS 5230N00130W", 2
"Q)EGTT/QSFAU/IV/BO/A/000/999/5058N00121W005 A) EGHI B) 2304191100 C) 2304191300 E) FUEL SERVICING NOT AVAILABLE", 4
"Q)EGTT/QNDAS/IV/BO/AE/000/999/5134N00028W025 A) EGKK B) 2304201030 C) 2304201900 E) DME ASSOCIATED WITH ILS RWY 08R U/S", 7
"Q)EGTT/QOBCE/IV/M/AE/000/004/5134N00028W001 A) EGKK B) 2304210001 C) PERM E) NEW MAST ERECTED AT PSN 513410N 0002759W (CRAWLEY) MAX HGT 295FT AGL/ 710FT AMSL", 5
"Q)EGTT/QWXLW/IV/M/W/000/999/5037N00118W005 A) EGHH B) 2304220800 C) 2304221000 E) PARACHUTE DROP EXERCISE WI 5NM RADIUS 5037N00118W", 6
"Q)EGTT/QPDCH/I/NBO/A/000/999/5129N00028W005 A) EGLL B) 2304231800 C) 2304232100 E) STAR CHANGES DUE TO TEMPORARY RESTRICTION", 5
"Q)EGTT/QMRXX/IV/NBO/A/000/999/5130N00028W005 A) EGLL B) 2304200001 C) 2304302359 E) RWY 09L/27R GROOVING COMPLETED", 2
"Q)EGTT/QWZLW/IV/M/W/000/999/5044N00112W005 A) EGHI B) 2304240700 C) 2304240900 E) ZONE OF HANG GLIDERS WI 5NM RADIUS 5044N00112W", 6
"Q)EGTT/QMRXX/IV/NBO/A/000/999/5318N00215W005 A) EGCC B) 2304180001 C) 2304302359 E) RWY 23R/05L RESURFACING COMPLETED", 2
"Q)EGTT/QSACF/IV/BO/A/000/999/5058N00121W005 A) EGHI B) 2304180001 C) 2304302359 E) ATIS FREQ CHANGED TO 126.450", 3
"Q)EGTT/QWTLW/IV/BO/W/000/999/5230N00130W005 A) EGBB B) 2304251100 C) 2304251700 D) DAILY 1100-1700 E) TEMPORARY GLIDER ACTIVITY WI 5NM RADIUS 5230N00130W", 5
"Q)EGTT/QMPLC/IV/BO/A/000/999/5134N00028W005 A) EGKK B) 2304261800 C) 2304262200 E) ACFT STANDS 15, 16, AND 17 CLOSED DUE TO MAINTENANCE", 4
"Q)EGTT/QWLLW/IV/M/W/000/999/5340N00220W005 A) EGCC B) 2304271400 C) 2304271600 E) HOT AIR BALLOON ACTIVITY WI 5NM RADIUS 5340N00220W", 6
"Q)EGTT/QOBCE/IV/M/AE/000/006/5130N00028W001 A) EGLL B) 2304280001 C) PERM E) NEW WIND TURBINE ERECTED AT PSN 513030N 0002830W (HOUNSLOW) MAX HGT 492FT AGL/ 907FT AMSL", 5
"Q)EGTT/QWXLW/IV/M/W/000/999/5129N00028W005 A) EGLL B) 2304290800 C) 2304291000 E) PARACHUTE DROP EXERCISE WI 5NM RADIUS 5129N00028W", 6
"Q)EGTT/QFAXX/IV/NBO/A/000/999/5340N00220W005 A) EGCC B) 2304300001 C) 2304302359 E) RWY 23R/05L DESIGNATED AS PREFERRED RWY FOR ARRIVALS AND DEPARTURES", 4
"Q)EGTT/QOBCE/IV/M/AE/000/005/5058N00121W001 A) EGHI B) 2304280001 C) PERM E) NEW CRANE OPERATING AT PSN 505815N 0012100W (SOUTHAMPTON) MAX HGT 328FT AGL/ 633FT AMSL", 5
"Q)EGTT/QWZLW/IV/M/W/000/999/5134N00028W005 A) EGKK B) 2304291200 C) 2304291500 E) ZONE OF HANG GLIDERS WI 5NM RADIUS 5134N00028W", 6
"Q)EGTT/QSPLT/IV/BO/AE/000/999/5130N00028W005 A) EGLL B) 2304300001 C) 2304302359 E) FREQ CHANGE FOR APP 128.075", 3
"Q)EGTT/QWLLW/IV/M/W/000/999/5318N00215W005 A) EGCC B) 2304300900 C) 2304301100 E) HOT AIR BALLOON ACTIVITY WI 5NM RADIUS 5318N00215W", 6
"Q)EGTT/QMRLT/IV/NBO/A/000/999/5058N00121W005 A) EGHI B) 2304280001 C) 2304302359 E) RWY 20/02 LIMITED TO ACFT WITH WINGSPAN LESS THAN 36M", 7
"Q)EGTT/QWMLW/IV/BO/W/000/999/5230N00154W005 A) EGBE B) 2304280800 C) 2304281100 E) MULTIPLE GAS BALLOON LAUNCHES WI 5NM RADIUS 5230N00154W", 6
"Q)EGTT/QPICH/I/NBO/A/000/999/5129N00046W005 A) EGLF B) 2304300001 C) 2304302359 E) ILS RWY 06 OUT OF SERVICE", 7
"Q)EGTT/QWXLW/IV/M/W/000/999/5130N00028W005 A) EGLL B) 2305010800 C) 2305011000 E) PARACHUTE DROP EXERCISE WI 5NM RADIUS 5130N00028W", 6
"Q)EGTT/QFAAH/IV/NBO/A/000/999/5340N00220W005 A) EGCC B) 2305020001 C) 2305312359 E) AD OPERATING HOURS 0600-2200", 4
"Q)EGTT/QOBCE/IV/M/AE/000/006/5058N00121W001 A) EGHI B) 2305010001 C) PERM E) NEW WIND TURBINE ERECTED AT PSN 505830N 0012100W (SOUTHAMPTON) MAX HGT 492FT AGL/ 907FT AMSL", 5
"Q)EGTT/QWZLW/IV/M/W/000/999/5134N00028W005 A) EGKK B) 2305021200 C) 2305021500 E) ZONE OF HANG GLIDERS WI 5NM RADIUS 5134N00028W", 6
"Q)EGTT/QFAXX/IV/NBO/A/000/999/5130N00028W005 A) EGLL B) 2305030001 C) 2305032359 E) RWY 09R/27L DESIGNATED AS PREFERRED RWY FOR ARRIVALS AND DEPARTURES", 4
"Q)EGTT/QWLLW/IV/M/W/000/999/5318N00215W005 A) EGCC B) 2305040900 C) 2305041100 E) HOT AIR BALLOON ACTIVITY WI 5NM RADIUS 5318N00215W", 6
"Q)EGTT/QMRLT/IV/NBO/A/000/999/5058N00121W005 A) EGHI B) 2305050001 C) 2305052359 E) RWY 20/02 LIMITED TO ACFT WITH WINGSPAN LESS THAN 36M", 7
"Q)EGTT/QWMLW/IV/BO/W/000/999/5230N00154W005 A) EGBE B) 2305060800 C) 2305061100 E) MULTIPLE GAS BALLOON LAUNCHES WI 5NM RADIUS 5230N00154W", 6
"Q)EGTT/QPDCH/I/NBO/A/000/999/5129N00046W005 A) EGLF B) 2305071800 C) 2305072100 E) SID CHANGES DUE TO TEMPORARY RESTRICTION", 5
"Q)EGTT/QOBCE/IV/M/AE/000/005/5130N00028W001 A) EGLL B) 2305080001 C) PERM E) CRANE OPERATING AT PSN 513000N 0002800W (HOUNSLOW) MAX HGT 328FT AGL/ 633FT AMSL", 5